,actual,country,date,forecast,impact,new,previous,time
1090,0.2%,USD,"Friday, August 24, 2018",0.5%,Medium,USD Durables Ex Transportation (JUL P),0.1%,12:30
1091,1.4%,USD,"Friday, August 24, 2018",0.5%,Low,USD Cap Goods Orders Nondef Ex Air (JUL P),0.6%,12:30
1092,0.9%,USD,"Friday, August 24, 2018",0.3%,Low,USD Cap Goods Ship Nondef Ex Air (JUL P),0.9%,12:30
1093,,USD,"Friday, August 24, 2018",,High,USD Fed Hosts Annual Jackson Hole Central Banking Symposium,,13:00
1094,1.15%,MXN,"Friday, August 24, 2018",1.65%,Medium,MXN Economic Activity IGAE (YoY) (JUN),2.23%,13:00
1095,2.6%,MXN,"Friday, August 24, 2018",2.7%,Medium,MXN GDP NSA (YoY) (2Q F),2.7%,13:00
1096,-0.2%,MXN,"Friday, August 24, 2018",-0.1%,Low,MXN GDP SA (QoQ) (2Q F),-0.1%,13:00
1097,,USD,"Friday, August 24, 2018",,High,USD Powell to Discuss Economy and Monetary Policy at Jackson Hole,,14:00
1098,1044,USD,"Friday, August 24, 2018",,Medium,USD Baker Hughes U.S. Rig Count (AUG 24),1057,17:00
1099,,USD,"Saturday, August 25, 2018",,High,USD Fed Hosts Annual Jackson Hole Central Banking Symposium,,13:00
1100,,CAD,"Saturday, August 25, 2018",,Medium,CAD Bank of Canada Governor Poloz Attends Jackson Hole,,16:25
1101,576.119b,CHF,"Monday, August 13, 2018",,Low,CHF Total Sight Deposits CHF (AUG 10),575.897b,08:00
1102,473.36b,CHF,"Monday, August 13, 2018",,Low,CHF Domestic Sight Deposits CHF (AUG 10),476.154b,08:00
1103,5.1%,CNY,"Monday, August 13, 2018",6.6%,Low,CNY Money Supply M1 (YoY) (JUL),6.6%,11:27
1104,8.5%,CNY,"Monday, August 13, 2018",8.2%,Low,CNY Money Supply M2 (YoY) (JUL),8.0%,11:27
1105,3.6%,CNY,"Monday, August 13, 2018",4.3%,Low,CNY Money Supply M0 (YoY) (JUL),3.9%,11:27
1106,1040.0b,CNY,"Monday, August 13, 2018",1100.0b,Medium,CNY Aggregate Financing CNY (JUL),1180.0b,11:27
1107,1450.0b,CNY,"Monday, August 13, 2018",1200.0b,High,CNY New Yuan Loans CNY (JUL),1840.0b,11:27
1108,,USD,"Monday, August 13, 2018",,Low,USD U.S. to Sell 3-Month Bills,,15:30
1109,,USD,"Monday, August 13, 2018",,Low,USD U.S. to Sell 6-Month Bills,,15:30
1110,118.2,AUD,"Monday, August 13, 2018",,Low,AUD ANZ Roy Morgan Weekly Consumer Confidence Index (AUG 12),118.9,23:30
1111,12,AUD,"Tuesday, August 14, 2018",,Low,AUD NAB Business Conditions (JUL),15,01:30
1112,7,AUD,"Tuesday, August 14, 2018",,Medium,AUD NAB Business Confidence (JUL),6,01:30
1113,5.1%,CNY,"Tuesday, August 14, 2018",,Medium,CNY Surveyed Jobless Rate (JUL),4.8%,02:00
1114,8.8%,CNY,"Tuesday, August 14, 2018",9.1%,Medium,CNY Retail Sales (YoY) (JUL),9.0%,02:00
1115,9.3%,CNY,"Tuesday, August 14, 2018",9.4%,Medium,CNY Retail Sales YTD (YoY) (JUL),9.4%,02:00
1116,6.0%,CNY,"Tuesday, August 14, 2018",6.3%,Medium,CNY Industrial Production (YoY) (JUL),6.0%,02:00
1117,6.6%,CNY,"Tuesday, August 14, 2018",6.6%,Medium,CNY Industrial Production YTD (YoY) (JUL),6.7%,02:00
1118,5.5%,CNY,"Tuesday, August 14, 2018",6.0%,Medium,CNY Fixed Assets Ex Rural YTD (YoY) (JUL),6.0%,02:00
1119,-1.8%,JPY,"Tuesday, August 14, 2018",,Low,JPY Industrial Production (MoM) (JUN F),-2.1%,04:30
1120,-0.9%,JPY,"Tuesday, August 14, 2018",,Medium,JPY Industrial Production (YoY) (JUN F),-1.2%,04:30
1121,-2.2%,JPY,"Tuesday, August 14, 2018",,Low,JPY Capacity Utilization (MoM) (JUN),-2.1%,04:30
1122,0.5%,EUR,"Tuesday, August 14, 2018",0.4%,Medium,EUR German Gross Domestic Product s.a. (QoQ) (2Q P),0.3%,06:00
1123,2.0%,EUR,"Tuesday, August 14, 2018",2.1%,High,EUR German Gross Domestic Product w.d.a. (YoY) (2Q P),2.3%,06:00
1124,2.3%,EUR,"Tuesday, August 14, 2018",2.5%,High,EUR German Gross Domestic Product n.s.a. (YoY) (2Q P),1.6%,06:00
1125,0.3%,EUR,"Tuesday, August 14, 2018",0.3%,Low,EUR German Consumer Price Index (MoM) (JUL F),0.3%,06:00
1126,2.0%,EUR,"Tuesday, August 14, 2018",2.0%,Medium,EUR German Consumer Price Index (YoY) (JUL F),2.0%,06:00
1127,0.1%,CHF,"Tuesday, August 14, 2018",,Low,CHF Producer & Import Prices (MoM) (JUL),0.2%,07:15
1128,3.6%,CHF,"Tuesday, August 14, 2018",,Low,CHF Producer & Import Prices (YoY) (JUL),3.5%,07:15
1129,2.5%,GBP,"Tuesday, August 14, 2018",,Medium,GBP Claimant Count Rate (JUL),2.5%,08:30
1130,6.2k,GBP,"Tuesday, August 14, 2018",3.8k,Medium,GBP Jobless Claims Change (JUL),9.0k,08:30
1131,2.4%,GBP,"Tuesday, August 14, 2018",2.5%,Medium,GBP Average Weekly Earnings (3M/YoY) (JUN),2.5%,08:30
1132,2.7%,GBP,"Tuesday, August 14, 2018",2.7%,Medium,GBP Weekly Earnings ex Bonus (3M/YoY) (JUN),2.8%,08:30
1133,4.0%,GBP,"Tuesday, August 14, 2018",4.2%,Medium,GBP ILO Unemployment Rate 3Mths (JUN),4.2%,08:30
1134,42k,GBP,"Tuesday, August 14, 2018",93k,Medium,GBP Employment Change 3M/3M (JUN),137k,08:30
1135,-0.7%,EUR,"Tuesday, August 14, 2018",-0.4%,Low,EUR Euro-Zone Industrial Production s.a. (MoM) (JUN),1.4%,09:00
1136,2.5%,EUR,"Tuesday, August 14, 2018",2.4%,Medium,EUR Euro-Zone Industrial Production w.d.a. (YoY) (JUN),2.6%,09:00
1137,0.4%,EUR,"Tuesday, August 14, 2018",0.3%,Medium,EUR Euro-Zone Gross Domestic Product s.a. (QoQ) (2Q P),0.3%,09:00
1138,2.2%,EUR,"Tuesday, August 14, 2018",2.1%,High,EUR Euro-Zone Gross Domestic Product s.a. (YoY) (2Q P),2.1%,09:00
1139,72.6,EUR,"Tuesday, August 14, 2018",72.1,Medium,EUR German ZEW Survey Current Situation (AUG),72.4,09:00
1140,-13.7,EUR,"Tuesday, August 14, 2018",-21.3,High,EUR German ZEW Survey Expectations (AUG),-24.7,09:00
1141,-11.1,EUR,"Tuesday, August 14, 2018",,High,EUR Euro-Zone ZEW Survey (Economic Sentiment) (AUG),-18.7,09:00
1142,107.9,USD,"Tuesday, August 14, 2018",106.8,Low,USD NFIB Small Business Optimism (JUL),107.2,10:00
1143,225.57,CAD,"Tuesday, August 14, 2018",,Low,CAD Teranet/National Bank HP Index (JUL),223.82,12:30
1144,0.8%,CAD,"Tuesday, August 14, 2018",,Low,CAD Teranet/National Bank HPI (MoM) (JUL),0.9%,12:30
1145,1.8%,CAD,"Tuesday, August 14, 2018",,Low,CAD Teranet/National Bank HPI (YoY) (JUL),2.9%,12:30
1146,0.0%,USD,"Tuesday, August 14, 2018",0.0%,Low,USD Import Price Index (MoM) (JUL),-0.1%,12:30
1147,-0.1%,USD,"Tuesday, August 14, 2018",0.1%,Medium,USD Import Price Index ex Petroleum (MoM) (JUL),-0.4%,12:30
1148,4.8%,USD,"Tuesday, August 14, 2018",4.5%,Low,USD Import Price Index (YoY) (JUL),4.7%,12:30
1149,-0.5%,USD,"Tuesday, August 14, 2018",0.2%,Low,USD Export Price Index (MoM) (JUL),0.2%,12:30
1150,4.3%,USD,"Tuesday, August 14, 2018",,Medium,USD Export Price Index (YoY) (JUL),5.3%,12:30
1151,,USD,"Tuesday, August 14, 2018",,Low,USD New York Fed to Release Q2 2018 Household Debt & Credit Report,,15:00
1152,,USD,"Tuesday, August 14, 2018",,Low,USD U.S. to Sell 52-Week Bills,,15:30
1153,,USD,"Tuesday, August 14, 2018",,Low,USD U.S. to Sell 4-Week Bills,,15:30
1154,103.6,AUD,"Wednesday, August 15, 2018",,Low,AUD Westpac Consumer Conf Index (AUG),106.1,00:30
1155,-2.3%,AUD,"Wednesday, August 15, 2018",,Medium,AUD Westpac Consumer Confidence (AUG),3.9%,00:30
1156,,JPY,"Wednesday, August 15, 2018",,Low,JPY BOJ Outright Bond Purchase 5~10 Years,,01:10
1157,,JPY,"Wednesday, August 15, 2018",,Low,JPY BOJ Outright Bond Purchase 10~25 Years,,01:10
1158,,JPY,"Wednesday, August 15, 2018",,Low,JPY BOJ Outright Bond Purchase 25 Years~,,01:10
1159,0.6%,AUD,"Wednesday, August 15, 2018",0.6%,Low,AUD Wage Price Index (QoQ) (2Q),0.5%,01:30
1160,2.1%,AUD,"Wednesday, August 15, 2018",2.1%,Medium,AUD Wage Price Index (YoY) (2Q),2.0%,01:30
1161,1.21%,CNY,"Wednesday, August 15, 2018",,Medium,CNY New Home Prices (MoM) (JUL),1.11%,01:30
1162,2.3%,GBP,"Wednesday, August 15, 2018",2.3%,Medium,GBP CPIH (YoY) (JUL),2.3%,08:30
1163,0.0%,GBP,"Wednesday, August 15, 2018",0.0%,Medium,GBP Consumer Price Index (MoM) (JUL),0.0%,08:30
1164,2.5%,GBP,"Wednesday, August 15, 2018",2.5%,High,GBP Consumer Price Index (YoY) (JUL),2.4%,08:30
1165,1.9%,GBP,"Wednesday, August 15, 2018",1.9%,High,GBP Core Consumer Price Index (YoY) (JUL),1.9%,08:30
1166,281.7,GBP,"Wednesday, August 15, 2018",282.1,Low,GBP Retail Price Index (JUL),281.5,08:30
1167,0.1%,GBP,"Wednesday, August 15, 2018",0.2%,Low,GBP Retail Price Index (MoM) (JUL),0.3%,08:30
1168,3.2%,GBP,"Wednesday, August 15, 2018",3.4%,Low,GBP Retail Price Index (YoY) (JUL),3.4%,08:30
1169,3.3%,GBP,"Wednesday, August 15, 2018",3.5%,Low,GBP Retail Price Index Ex Mort Int.Payments (YoY) (JUL),3.4%,08:30
1170,0.5%,GBP,"Wednesday, August 15, 2018",0.1%,Low,GBP Producer Price Index Input n.s.a. (MoM) (JUL),0.3%,08:30
1171,10.9%,GBP,"Wednesday, August 15, 2018",10.3%,Low,GBP Producer Price Index Input n.s.a. (YoY) (JUL),10.3%,08:30
1172,0.0%,GBP,"Wednesday, August 15, 2018",0.2%,Low,GBP Producer Price Index Output n.s.a. (MoM) (JUL),0.3%,08:30
1173,3.1%,GBP,"Wednesday, August 15, 2018",3.0%,Low,GBP Producer Price Index Output n.s.a. (YoY) (JUL),3.3%,08:30
1174,0.0%,GBP,"Wednesday, August 15, 2018",0.2%,Low,GBP Producer Price Index Output Core n.s.a. (MoM) (JUL),0.4%,08:30
1175,2.2%,GBP,"Wednesday, August 15, 2018",2.1%,Low,GBP Producer Price Index Output Core n.s.a. (YoY) (JUL),2.4%,08:30
1176,3.0%,GBP,"Wednesday, August 15, 2018",2.6%,Medium,GBP House Price Index (YoY) (JUN),3.5%,08:30
1177,-2.0%,USD,"Wednesday, August 15, 2018",,Medium,USD MBA Mortgage Applications (AUG 10),-3.0%,11:00
1178,25.6,USD,"Wednesday, August 15, 2018",20,Low,USD Empire Manufacturing (AUG),22.6,12:30
1179,2.9%,USD,"Wednesday, August 15, 2018",2.4%,Low,USD Nonfarm Productivity (2Q P),0.3%,12:30
1180,0.5%,USD,"Wednesday, August 15, 2018",0.1%,High,USD Retail Sales Advance (MoM) (JUL),0.2%,12:30
1181,-0.9%,USD,"Wednesday, August 15, 2018",0.0%,Low,USD Unit Labor Costs (2Q P),3.4%,12:30
1182,0.5%,USD,"Wednesday, August 15, 2018",0.4%,Medium,USD Retail Sales Control Group (JUL),-0.1%,12:30
1183,0.6%,USD,"Wednesday, August 15, 2018",0.3%,Low,USD Retail Sales Ex Auto (MoM) (JUL),0.2%,12:30
1184,0.6%,USD,"Wednesday, August 15, 2018",0.4%,Medium,USD Retail Sales Ex Auto and Gas (JUL),0.2%,12:30
1185,1.9%,CAD,"Wednesday, August 15, 2018",,Medium,CAD Existing Home Sales (MoM) (JUL),4.1%,13:00
1186,0.1%,USD,"Wednesday, August 15, 2018",0.3%,Medium,USD Industrial Production (MoM) (JUL),1.0%,13:15
1187,78.1%,USD,"Wednesday, August 15, 2018",78.2%,Low,USD Capacity Utilization (JUL),78.1%,13:15
1188,0.3%,USD,"Wednesday, August 15, 2018",0.3%,Medium,USD Manufacturing (SIC) Production (JUL),0.8%,13:15
1189,0.1%,USD,"Wednesday, August 15, 2018",0.1%,Medium,USD Business Inventories (JUN),0.3%,14:00
1190,67,USD,"Wednesday, August 15, 2018",67,Medium,USD NAHB Housing Market Index (AUG),68,14:00
1191,6805k,USD,"Wednesday, August 15, 2018",-2500k,Medium,USD DOE U.S. Crude Oil Inventories (AUG 10),-1351k,14:30
1192,1643k,USD,"Wednesday, August 15, 2018",,Low,USD DOE Cushing OK Crude Inventory (AUG 10),-590k,14:30
1193,-740k,USD,"Wednesday, August 15, 2018",-250k,Low,USD DOE U.S. Gasoline Inventories (AUG 10),2900k,14:30
1194,3566k,USD,"Wednesday, August 15, 2018",1000k,Low,USD DOE U.S. Distillate Inventory (AUG 10),1230k,14:30
1195,$114.5b,USD,"Wednesday, August 15, 2018",,Low,USD Total Net TIC Flows (JUN),$69.9b,20:00
1196,-$36.5b,USD,"Wednesday, August 15, 2018",,Medium,USD Net Long-term TIC Flows (JUN),$45.6b,20:00
1197,-¥231.2b,JPY,"Wednesday, August 15, 2018",-¥41.2b,Medium,JPY Trade Balance (JUL),¥720.8b,23:50
1198,-¥45.6b,JPY,"Wednesday, August 15, 2018",¥20.7b,Low,JPY Adjusted Merchandise Trade Balance (Yen) (JUL),¥683.1b,23:50
1199,3.9%,JPY,"Wednesday, August 15, 2018",6.3%,Low,JPY Exports (YoY) (JUL),6.7%,23:50
1200,14.6%,JPY,"Wednesday, August 15, 2018",14.2%,Low,JPY Imports (YoY) (JUL),2.6%,23:50
1201,¥123.9b,JPY,"Wednesday, August 15, 2018",,Low,JPY Japan Buying Foreign Bonds (Yen) (AUG 10),¥1164.0b,23:50
1202,¥181.7b,JPY,"Wednesday, August 15, 2018",,Low,JPY Japan Buying Foreign Stocks (Yen) (AUG 10),¥505.0b,23:50
1203,¥-¥107.1b,JPY,"Wednesday, August 15, 2018",,Low,JPY Foreign Buying Japan Stocks (AUG 10),-¥224.8b,23:50
1204,-¥58.9b,JPY,"Wednesday, August 15, 2018",,Low,JPY Foreign Buying Japan Bonds (AUG 10),-¥663.2b,23:50
1205,4.0%,AUD,"Thursday, August 16, 2018",,Medium,AUD Consumer Inflation Expectation (AUG),3.9%,01:00
1206,-3.9k,AUD,"Thursday, August 16, 2018",15.0k,High,AUD Employment Change (JUL),58.2k,01:30
1207,5.3%,AUD,"Thursday, August 16, 2018",5.4%,High,AUD Unemployment Rate (JUL),5.4%,01:30
1208,19.3k,AUD,"Thursday, August 16, 2018",,Medium,AUD Full Time Employment Change (JUL),43.2k,01:30
1209,-23.2k,AUD,"Thursday, August 16, 2018",,Low,AUD Part Time Employment Change (JUL),15.0k,01:30
1210,65.5%,AUD,"Thursday, August 16, 2018",65.7%,Low,AUD Participation Rate (JUL),65.7%,01:30
1211,A$573m,AUD,"Thursday, August 16, 2018",,Low,AUD RBA Foreign Exchange Transaction (Australian dollar) (JUL),A$1752m,01:30
1212,-A672m,AUD,"Thursday, August 16, 2018",,Low,AUD RBA FX Transactions Government (JUL),-A$1843m,01:30
1213,A$138m,AUD,"Thursday, August 16, 2018",,Low,AUD RBA FX Transactions Other (JUL),A$4821m,01:30
1214,58.7%,NZD,"Thursday, August 16, 2018",,Low,NZD Non Resident Bond Holdings (JUL),58.1%,03:00
1215,0.0%,EUR,"Thursday, August 16, 2018",,Low,EUR German Wholesale Price Index (MoM) (JUL),0.5%,06:00
1216,3.5%,EUR,"Thursday, August 16, 2018",,Low,EUR German Wholesale Price Index (YoY) (JUL),3.4%,06:00
1217,,AUD,"Thursday, August 16, 2018",,Low,AUD RBA's Ellis Speech in Canberra,,07:30
1218,0.9%,GBP,"Thursday, August 16, 2018",0.0%,Low,GBP Retail Sales Ex Auto Fuel (MoM) (JUL),-0.6%,08:30
1219,3.7%,GBP,"Thursday, August 16, 2018",2.7%,Medium,GBP Retail Sales Ex Auto Fuel (YoY) (JUL),2.9%,08:30
1220,0.7%,GBP,"Thursday, August 16, 2018",0.2%,Low,GBP Retail Sales Inc Auto Fuel (MoM) (JUL),-0.5%,08:30
1221,3.5%,GBP,"Thursday, August 16, 2018",2.9%,Low,GBP Retail Sales Inc Auto Fuel (YoY) (JUL),2.9%,08:30
1222,22.5b,EUR,"Thursday, August 16, 2018",16.5b,Low,EUR Euro-Zone Trade Balance s.a. (JUN),16.9b,09:00
1223,16.7b,EUR,"Thursday, August 16, 2018",,Low,EUR Euro-Zone Trade Balance (euros) (JUN),16.9b,09:00
1224,,CAD,"Thursday, August 16, 2018",,Low,CAD ADP Publishes July Payrolls Report,,12:30
1225,1.1%,CAD,"Thursday, August 16, 2018",1.0%,Low,CAD Manufacturing Sales (MoM) (JUN),1.5%,12:30
1226,212k,USD,"Thursday, August 16, 2018",215k,Medium,USD Initial Jobless Claims (AUG 11),214k,12:30
1227,1721k,USD,"Thursday, August 16, 2018",1740k,Medium,USD Continuing Claims (AUG 4),1760k,12:30
1228,1168k,USD,"Thursday, August 16, 2018",1260k,Low,USD Housing Starts (JUL),1158k,12:30
1229,0.9%,USD,"Thursday, August 16, 2018",7.4%,Medium,USD Housing Starts (MoM) (JUL),-12.9%,12:30
1230,1311k,USD,"Thursday, August 16, 2018",1310k,Low,USD Building Permits (JUL),1292k,12:30
1231,1.5%,USD,"Thursday, August 16, 2018",1.4%,Medium,USD Building Permits (MoM) (JUL),-0.7%,12:30
1232,11.9,USD,"Thursday, August 16, 2018",22,Medium,USD Philadelphia Fed Business Outlook (AUG),25.7,12:30
1233,33,USD,"Thursday, August 16, 2018",29,Low,USD EIA Working Natural Gas Implied Flow (AUG 10),46,14:30
1234,33,USD,"Thursday, August 16, 2018",29,Low,USD EIA Natural Gas Storage Change (AUG 10),46,14:30
1235,0.9%,NZD,"Thursday, August 16, 2018",,Low,NZD Producer Price Index Output (QoQ) (2Q),0.2%,22:45
1236,1.0%,NZD,"Thursday, August 16, 2018",,Low,NZD Producer Price Index Input (QoQ) (2Q),0.6%,22:45
1237,,AUD,"Thursday, August 16, 2018",,High,AUD RBA Governor Semiannual Testimony,,23:30
1238,,CNY,"Friday, August 17, 2018",,Low,CNY FX Net Settlement - Clients CNY (JUL),47.3b,
1239,,JPY,"Friday, August 17, 2018",,Low,JPY BOJ Outright Bond Purchase 1~3 Years,,01:10
1240,,JPY,"Friday, August 17, 2018",,Low,JPY BOJ Outright Bond Purchase 3~5 Years,,01:10
1241,24.0b,EUR,"Friday, August 17, 2018",,Low,EUR Euro-Zone Current Account s.a. (euros) (JUN),24.0b,08:00
1242,1.1%,EUR,"Friday, August 17, 2018",1.1%,Medium,EUR Euro-Zone Consumer Price Index Core (YoY) (JUL F),1.1%,09:00
1243,2.1%,EUR,"Friday, August 17, 2018",2.1%,Medium,EUR Euro-Zone Consumer Price Index (YoY) (JUL F),2.0%,09:00
1244,-0.3%,EUR,"Friday, August 17, 2018",-0.3%,Medium,EUR Euro-Zone Consumer Price Index (MoM) (JUL),0.1%,09:00
1245,11.55b,CAD,"Friday, August 17, 2018",,Low,CAD International Securities Transactions (Canadian dollar) (JUN),3.01b,12:30
1246,0.5%,CAD,"Friday, August 17, 2018",0.1%,Medium,CAD Consumer Price Index n.s.a. (MoM) (JUL),0.1%,12:30
1247,3.0%,CAD,"Friday, August 17, 2018",2.5%,High,CAD Consumer Price Index (YoY) (JUL),2.5%,12:30
1248,1.9%,CAD,"Friday, August 17, 2018",2.0%,Low,CAD CPI Core - Common (YoY) (JUL),1.9%,12:30
1249,2.0%,CAD,"Friday, August 17, 2018",,Low,CAD CPI Core - Median (YoY) (JUL),2.0%,12:30
1250,2.1%,CAD,"Friday, August 17, 2018",,Low,CAD CPI Core - Trim (YoY) (JUL),2.0%,12:30
1251,0.6%,USD,"Friday, August 17, 2018",0.4%,Medium,USD Leading Index (JUL),0.5%,14:00
1252,95.3,USD,"Friday, August 17, 2018",98,High,USD U. of Mich. Sentiment (AUG P),97.9,14:00
1253,107.8,USD,"Friday, August 17, 2018",,Low,USD U. of Mich. Current Conditions (AUG P),114.4,14:00
1254,87.3,USD,"Friday, August 17, 2018",,Low,USD U. of Mich. Expectations (AUG P),87.3,14:00
1255,2.9%,USD,"Friday, August 17, 2018",,Low,USD U. of Mich. 1 Yr Inflation (AUG P),2.9%,14:00
1256,2.5%,USD,"Friday, August 17, 2018",,Low,USD U. of Mich. 5-10 Yr Inflation (AUG P),2.4%,14:00
1257,1057,USD,"Friday, August 17, 2018",,Medium,USD Baker Hughes U.S. Rig Count (AUG 17),1057,17:00
1258,0.1%,AUD,"Monday, August 6, 2018",,Low,AUD TD Securities Inflation (MoM) (JUL),0.0%,01:00
1259,2.0%,AUD,"Monday, August 6, 2018",,Medium,AUD TD Securities Inflation (YoY) (JUL),2.0%,01:00
1260,-3.2%,NZD,"Monday, August 6, 2018",,Low,NZD ANZ Commodity Price (JUL),-1.0%,01:00
1261,1.5%,AUD,"Monday, August 6, 2018",,Low,AUD ANZ Job Advertisements (MoM) (JUL),-1.7%,01:30
1262,-4.0%,EUR,"Monday, August 6, 2018",-0.5%,Low,EUR German Factory Orders (MoM) (JUN),2.6%,06:00
1263,-0.8%,EUR,"Monday, August 6, 2018",3.4%,Medium,EUR German Factory Orders n.s.a. (YoY) (JUN),4.4%,06:00
1264,50,EUR,"Monday, August 6, 2018",,Medium,EUR Markit Germany Construction PMI (JUL),53,07:30
1265,$5.8b,CNY,"Monday, August 6, 2018",,Low,CNY BoP Current Account Balance (2Q P),-$34.1b,07:52
1266,1.2%,GBP,"Monday, August 6, 2018",,Low,GBP New Car Registrations (YoY) (JUL),-3.5%,08:00
1267,575.9b,CHF,"Monday, August 6, 2018",,Low,CHF Total Sight Deposits CHF (AUG 3),576.4b,08:00
1268,476.154b,CHF,"Monday, August 6, 2018",,Low,CHF Domestic Sight Deposits CHF (AUG 3),476.5b,08:00
1269,14.7,EUR,"Monday, August 6, 2018",13.5,Low,EUR Euro-Zone Sentix Investor Confidence (AUG),12.1,08:30
1270,,USD,"Monday, August 6, 2018",,Low,USD U.S. to Sell 3-Month Bills,,15:30
1271,,USD,"Monday, August 6, 2018",,Low,USD U.S. to Sell 6-Month Bills,,15:30
1272,52.0,AUD,"Monday, August 6, 2018",,Medium,AUD AiG Performance of Construction Index (JUL),50.6,22:30
1273,0.5%,GBP,"Monday, August 6, 2018",1.5%,Low,GBP BRC Sales Like-For-Like (YoY) (JUL),1.1%,23:01
1274,118.9,AUD,"Monday, August 6, 2018",,Low,AUD ANZ Roy Morgan Weekly Consumer Confidence Index (AUG 5),119.8,23:30
1275,-1.2%,JPY,"Monday, August 6, 2018",-1.4%,Medium,JPY Overall Household Spending (YoY) (JUN),-3.9%,23:30
1276,3.6%,JPY,"Tuesday, August 7, 2018",1.7%,Medium,JPY Labor Cash Earnings (YoY) (JUN),2.1%,00:00
1277,2.8%,JPY,"Tuesday, August 7, 2018",0.9%,Medium,JPY Real Cash Earnings (YoY) (JUN),1.3%,00:00
1278,1.50%,AUD,"Tuesday, August 7, 2018",1.50%,High,AUD RBA Cash Rate Target (AUG 7),1.50%,04:30
1279,105.2,JPY,"Tuesday, August 7, 2018",105.3,Medium,JPY Leading Index CI (JUN P),106.9,05:00
1280,116.3,JPY,"Tuesday, August 7, 2018",116.2,Medium,JPY Coincident Index (JUN P),116.8,05:00
1281,21.8b,EUR,"Tuesday, August 7, 2018",20.8b,Medium,EUR German Trade Balance (JUN),19.6b,06:00
1282,26.2b,EUR,"Tuesday, August 7, 2018",21.2b,Low,EUR German Current Account (euros) (JUN),12.6b,06:00
1283,0.0%,EUR,"Tuesday, August 7, 2018",-0.4%,Low,EUR German Exports s.a. (MoM) (JUN),1.8%,06:00
1284,1.2%,EUR,"Tuesday, August 7, 2018",0.2%,Low,EUR German Imports s.a. (MoM) (JUN),0.7%,06:00
1285,-0.9%,EUR,"Tuesday, August 7, 2018",-0.5%,Low,EUR German Industrial Production s.a. (MoM) (JUN),2.6%,06:00
1286,2.5%,EUR,"Tuesday, August 7, 2018",3.0%,Medium,EUR German Industrial Production n.s.a. and w.d.a. (YoY) (JUN),3.1%,06:00
1287,1.00,CHF,"Tuesday, August 7, 2018",,Medium,CHF UBS Real Estate Bubble Index (2Q),1.09,06:00
1288,750.0b,CHF,"Tuesday, August 7, 2018",,Low,CHF Foreign Currency Reserves (JUL),748.5b,07:00
1289,1.4%,GBP,"Tuesday, August 7, 2018",0.2%,Low,GBP Halifax House Prices (MoM) (JUL),0.9%,07:30
1290,3.3%,GBP,"Tuesday, August 7, 2018",2.7%,Low,GBP Halifax House Price 3Mths/Year (JUL),1.8%,07:30
1291,$3117.95b,CNY,"Tuesday, August 7, 2018",$3107.0b,Low,CNY Foreign Reserves (JUL),$3112.13b,08:15
1292,6662,USD,"Tuesday, August 7, 2018",6625,Low,USD JOLTS Job Openings (JUN),6638,14:00
1293,61.8,CAD,"Tuesday, August 7, 2018",,Low,CAD Ivey Purchasing Managers Index s.a. (JUL),63.1,14:00
1294,"$3,136",NZD,"Tuesday, August 7, 2018",,Medium,NZD Dairy Auction Avg. Winning Price MT (AUG 7),"$3,222",14:15
1295,"$2,958",NZD,"Tuesday, August 7, 2018",,Medium,NZD Dairy Auction Whole Milk Powder MT (AUG 7),"$2,973",14:15
1296,,USD,"Tuesday, August 7, 2018",,Low,USD U.S. to Sell 4-Week Bills,,15:30
1297,,USD,"Tuesday, August 7, 2018",,Low,USD U.S. to Sell 3-Year Notes,,17:00
1298,$10.211b,USD,"Tuesday, August 7, 2018",$15.0b,Medium,USD Consumer Credit (JUN),$24.259b,19:00
1299,-0.4%,NZD,"Tuesday, August 7, 2018",,Low,NZD ANZ Truckometer Heavy (MoM) (JUL),-1.5%,22:00
1300,,JPY,"Tuesday, August 7, 2018",,Low,JPY BOJ Summary of Opinions (JUL),,23:50
1301,¥1762.4b,JPY,"Tuesday, August 7, 2018",¥1866.7b,Low,JPY Adjusted Current Account Total (Yen) (JUN),¥1850.0b,23:50
1302,¥1175.6b,JPY,"Tuesday, August 7, 2018",¥1222.2b,Low,JPY BoP Current Account Balance (JUN),¥1938.3b,23:50
1303,¥820.5b,JPY,"Tuesday, August 7, 2018",¥822.0b,Medium,JPY Trade Balance - BOP Basis (Yen) (JUN),-¥303.8b,23:50
1304,2.0%,JPY,"Tuesday, August 7, 2018",,Medium,JPY Bank Lending incl Trusts (YoY) (JUL),2.2%,23:50
1305,2.0%,JPY,"Tuesday, August 7, 2018",,Medium,JPY Bank Lending Ex-Trusts (YoY) (JUL),2.1%,23:50
1306,-1.1%,AUD,"Wednesday, August 8, 2018",0.0%,Medium,AUD Home Loans (MoM) (JUN),1.0%,01:30
1307,-2.7%,AUD,"Wednesday, August 8, 2018",,Low,AUD Investment Lending (JUN),-0.1%,01:30
1308,-1.0%,AUD,"Wednesday, August 8, 2018",,Low,AUD Value of Loans (MoM) (JUN),0.7%,01:30
1309,2.04%,NZD,"Wednesday, August 8, 2018",,Medium,NZD 2Yr Inflation Expectation (3Q),2.01%,03:00
1310,,AUD,"Wednesday, August 8, 2018",,High,AUD RBA Governor Lowe Speech in Sydney (AUG 8),,03:05
1311,-1.68%,JPY,"Wednesday, August 8, 2018",,Medium,JPY Bankruptcies (YoY) (JUL),-2.26%,04:30
